Filename,Size Duplicate,Size Original
ISIC_0069410.jpg,274017,724061
ISIC_0063410.jpg,147169,377524
ISIC_0026116.jpg,46851,265034
ISIC_0061295.jpg,216679,531582
ISIC_0013178_downsampled.jpg,123037,252494
ISIC_0000323.jpg,107504,308703
ISIC_0030231.jpg,57256,280389
ISIC_0031430.jpg,55992,198802
ISIC_0059892.jpg,222258,580713
ISIC_0029365.jpg,49259,301957
ISIC_0011329.jpg,184671,257525
ISIC_0070859.jpg,205145,633821
ISIC_0063052.jpg,207935,621242
ISIC_0012836_downsampled.jpg,124524,245382
ISIC_0008507_downsampled.jpg,79454,196770
ISIC_0030664.jpg,51363,240661
ISIC_0063534.jpg,198921,528193
ISIC_0033864.jpg,58009,320013
ISIC_0067024.jpg,232338,553461
ISIC_0069141.jpg,249091,633955
ISIC_0029530.jpg,60188,287164
ISIC_0030057.jpg,55991,256660
ISIC_0031364.jpg,73455,360264
ISIC_0006815_downsampled.jpg,102541,224693
ISIC_0026371.jpg,70399,336269
ISIC_0059232.jpg,192199,513448
ISIC_0031832.jpg,49115,240360
ISIC_0069239.jpg,328084,813549
ISIC_0010002.jpg,68558,44901
ISIC_0030310.jpg,60198,277085
ISIC_0062040.jpg,209294,530131
ISIC_0027130.jpg,70884,366445
ISIC_0029386.jpg,64585,338171
ISIC_0027486.jpg,55859,268663
ISIC_0009889.jpg,119708,156111
ISIC_0030885.jpg,72553,354208
ISIC_0058399.jpg,162752,459338
ISIC_0026710.jpg,64209,330255
ISIC_0028118.jpg,49465,148287
ISIC_0065691.jpg,150337,424315
ISIC_0071665.jpg,300330,726432
ISIC_0071990.jpg,287651,647785
ISIC_0054820.jpg,141748,303550
ISIC_0029758.jpg,43825,254726
ISIC_0070988.jpg,189591,465170
ISIC_0025498.jpg,44791,258828
ISIC_0000034_downsampled.jpg,127942,221953
ISIC_0055693.jpg,196478,570646
ISIC_0073171.jpg,181725,495112
ISIC_0069073.jpg,188825,482888
ISIC_0059640.jpg,195071,515000
ISIC_0067709.jpg,183239,527728
ISIC_0026427.jpg,62400,296935
ISIC_0030477.jpg,58866,327100
ISIC_0026279.jpg,59692,115670
ISIC_0072828.jpg,197726,511330
ISIC_0027144.jpg,64396,283290
ISIC_0068287.jpg,122802,354141
ISIC_0068631.jpg,154619,436950
ISIC_0031970.jpg,61304,285239
ISIC_0053732.jpg,249013,615927
ISIC_0030393.jpg,54511,284065
ISIC_0014347_downsampled.jpg,95695,196003
ISIC_0028466.jpg,73813,362431
ISIC_0056782.jpg,213571,594180
ISIC_0014317_downsampled.jpg,71503,139321
ISIC_0063855.jpg,165686,467857
ISIC_0069986.jpg,208808,530256
ISIC_0027966.jpg,45415,216871
ISIC_0071932.jpg,126809,303016
ISIC_0054138.jpg,244299,592226
ISIC_0063297.jpg,231294,592301
ISIC_0070738.jpg,260602,627176
ISIC_0067856.jpg,205982,527373
ISIC_0028596.jpg,48800,233143
ISIC_0028932.jpg,67256,353033
ISIC_0060633.jpg,140332,407940
ISIC_0015941_downsampled.jpg,97080,193541
ISIC_0033458.jpg,52138,306403
ISIC_0058932.jpg,207629,520169
ISIC_0070466.jpg,168598,472085
ISIC_0034068.jpg,43159,287988
ISIC_0033510.jpg,53068,293279
ISIC_0071694.jpg,256775,649119
ISIC_0028924.jpg,63862,328190
ISIC_0033859.jpg,58665,311769
ISIC_0029715.jpg,46668,263673
ISIC_0026564.jpg,63648,298346
ISIC_0031875.jpg,55793,255036
ISIC_0032382.jpg,57872,272614
ISIC_0014715_downsampled.jpg,136322,290149
ISIC_0073081.jpg,158649,409401
ISIC_0027538.jpg,37631,167870
ISIC_0027884.jpg,50231,241412
ISIC_0056836.jpg,161615,457234
ISIC_0027868.jpg,67201,372981
ISIC_0033676.jpg,60013,305390
ISIC_0073240.jpg,170794,425298
ISIC_0027935.jpg,49325,268406
ISIC_0025258.jpg,52439,275149
ISIC_0025670.jpg,49224,267425
ISIC_0028325.jpg,61887,290835
ISIC_0025982.jpg,57472,251555
ISIC_0028156.jpg,54585,285519
ISIC_0065537.jpg,175550,585781
ISIC_0028899.jpg,60483,270195
ISIC_0026542.jpg,56469,301283
ISIC_0061497.jpg,197354,592132
ISIC_0028671.jpg,57745,268032
ISIC_0073193.jpg,219754,565239
ISIC_0028418.jpg,63597,307977
ISIC_0028002.jpg,47432,278786
ISIC_0057449.jpg,229890,563347
ISIC_0026348.jpg,60010,276467
ISIC_0055240.jpg,229464,630636
ISIC_0026069.jpg,50865,266954
ISIC_0012719_downsampled.jpg,102185,200520
ISIC_0016051_downsampled.jpg,84127,158362
ISIC_0066395.jpg,172377,467068
ISIC_0060914.jpg,175010,494989
ISIC_0054716.jpg,262163,635018
ISIC_0012965_downsampled.jpg,75107,159134
ISIC_0028980.jpg,47367,221521
ISIC_0026970.jpg,46461,211234
ISIC_0000211.jpg,77083,51693
ISIC_0054342.jpg,178206,447318
ISIC_0069641.jpg,234942,542507
ISIC_0031987.jpg,58127,295930
ISIC_0059096.jpg,132689,338548
ISIC_0063312.jpg,187184,517458
ISIC_0026939.jpg,55762,281686
ISIC_0059451.jpg,222628,570822
ISIC_0065062.jpg,230943,570833
ISIC_0059760.jpg,213542,566598
ISIC_0030232.jpg,68165,327340
ISIC_0014727_downsampled.jpg,125833,279715
ISIC_0054963.jpg,200488,535720
ISIC_0031153.jpg,67659,338910
ISIC_0029473.jpg,73409,350836
ISIC_0061041.jpg,183326,494246
ISIC_0064572.jpg,155313,453678
ISIC_0069299.jpg,138870,403753
ISIC_0031517.jpg,65903,320189
ISIC_0060496.jpg,176769,486958
ISIC_0066620.jpg,184145,498557
ISIC_0032215.jpg,61293,354753
ISIC_0065541.jpg,170741,442859
ISIC_0030024.jpg,49378,274695
ISIC_0029001.jpg,43573,195186
ISIC_0026868.jpg,65104,311251
ISIC_0013747_downsampled.jpg,97965,230571
ISIC_0055291.jpg,191806,521905
ISIC_0030854.jpg,52558,278829
ISIC_0058686.jpg,255536,638360
ISIC_0025956.jpg,62304,290330
ISIC_0009994.jpg,138072,198859
ISIC_0060731.jpg,250688,623101
ISIC_0054625.jpg,101775,261962
ISIC_0068666.jpg,250028,639559
ISIC_0057545.jpg,233834,593264
ISIC_0033785.jpg,62796,346616
ISIC_0064503.jpg,245559,608856
ISIC_0062355.jpg,194021,495918
ISIC_0070309.jpg,224091,619470
ISIC_0029629.jpg,52385,278816
ISIC_0068559.jpg,140445,362370
ISIC_0027660.jpg,50453,275654
ISIC_0025463.jpg,43049,197196
ISIC_0062765.jpg,214699,513238
ISIC_0027419.jpg,63146,311921
ISIC_0069370.jpg,266244,650326
ISIC_0072802.jpg,219077,565102
ISIC_0025180.jpg,63910,272840
ISIC_0060972.jpg,249072,681712
ISIC_0065405.jpg,158698,457799
ISIC_0033048.jpg,53468,295432
ISIC_0029885.jpg,44895,212521
ISIC_0055680.jpg,141977,418359
ISIC_0024937.jpg,54908,256883
ISIC_0064114.jpg,153443,380497
ISIC_0066694.jpg,175414,468264
ISIC_0054031.jpg,166371,442654
ISIC_0027315.jpg,70967,360441
ISIC_0070521.jpg,223057,566965
ISIC_0065846.jpg,165205,475490
ISIC_0031723.jpg,50572,270679
ISIC_0068625.jpg,184327,449048
ISIC_0027800.jpg,45865,233652
ISIC_0026881.jpg,54243,280016
ISIC_0065630.jpg,151274,436522
ISIC_0025537.jpg,65861,315648
ISIC_0024705.jpg,48632,251161
ISIC_0058246.jpg,244747,616311
ISIC_0071516.jpg,166067,421504
ISIC_0028768.jpg,62810,328839
ISIC_0067695.jpg,198539,519438
ISIC_0069938.jpg,145306,416497
ISIC_0058158.jpg,202213,503771
ISIC_0012806_downsampled.jpg,92357,193253
ISIC_0025617.jpg,63706,299540
ISIC_0057437.jpg,189026,488643
ISIC_0027714.jpg,47921,230450
ISIC_0031699.jpg,57347,315854
ISIC_0030191.jpg,50784,249733
ISIC_0065455.jpg,218794,560608
ISIC_0061276.jpg,241159,658474
ISIC_0067753.jpg,211129,558560
ISIC_0062129.jpg,251458,616428
ISIC_0055276.jpg,240664,617837
ISIC_0031554.jpg,68318,328822
ISIC_0011357.jpg,83822,54690
ISIC_0013782_downsampled.jpg,77513,164858
ISIC_0030309.jpg,44401,262669
ISIC_0028752.jpg,50711,276891
ISIC_0072876.jpg,156546,502099
ISIC_0014434_downsampled.jpg,116449,236176
ISIC_0065004.jpg,192636,479016
ISIC_0053514.jpg,278500,705241
ISIC_0024662.jpg,64406,340069
ISIC_0058168.jpg,165828,370871
ISIC_0026541.jpg,44037,229058
ISIC_0025257.jpg,58110,295898
ISIC_0012828_downsampled.jpg,109406,236462
ISIC_0068769.jpg,254473,618405
ISIC_0014910_downsampled.jpg,123706,255825
ISIC_0031918.jpg,59317,276548
ISIC_0058295.jpg,188684,477559
ISIC_0031297.jpg,69794,344898
ISIC_0031535.jpg,54258,279287
ISIC_0054079.jpg,225748,562463
ISIC_0066285.jpg,234951,609113
ISIC_0027981.jpg,50368,266342
ISIC_0030298.jpg,46536,264729
ISIC_0015043_downsampled.jpg,136944,285802
ISIC_0054327.jpg,144727,427464
ISIC_0060665.jpg,165241,418634
ISIC_0031870.jpg,47501,288278
ISIC_0025995.jpg,46984,266176
ISIC_0061402.jpg,133016,401235
ISIC_0000524.jpg,144002,420572
ISIC_0062201.jpg,175107,416980
ISIC_0072938.jpg,127741,387779
ISIC_0013132_downsampled.jpg,102477,203098
ISIC_0070924.jpg,125830,373918
ISIC_0058063.jpg,281491,648627
ISIC_0031619.jpg,76405,388273
ISIC_0069335.jpg,115413,308727
ISIC_0053783.jpg,134164,391231
ISIC_0032510.jpg,60615,221633
ISIC_0025391.jpg,67023,325907
ISIC_0061285.jpg,184816,411134
ISIC_0015156_downsampled.jpg,119192,246575
ISIC_0031787.jpg,38960,244519
ISIC_0026095.jpg,57984,297727
ISIC_0064588.jpg,205930,600749
ISIC_0000155_downsampled.jpg,124213,157870
ISIC_0068653.jpg,233273,589003
ISIC_0067350.jpg,209769,516119
ISIC_0024460.jpg,59019,299724
ISIC_0007332_downsampled.jpg,114399,255041
ISIC_0027513.jpg,47836,249693
ISIC_0033253.jpg,44505,256851
ISIC_0060687.jpg,210711,566896
ISIC_0064593.jpg,184920,468480
ISIC_0056742.jpg,217736,537330
ISIC_0027553.jpg,50843,270457
ISIC_0053763.jpg,207074,535844
ISIC_0024816.jpg,60702,302664
ISIC_0058940.jpg,241917,567044
ISIC_0068007.jpg,178980,481119
ISIC_0031772.jpg,49410,274413
ISIC_0065849.jpg,195384,528164
ISIC_0070735.jpg,159348,457865
ISIC_0025472.jpg,68495,332705
ISIC_0031612.jpg,51596,235324
ISIC_0053940.jpg,189133,525180
ISIC_0057463.jpg,166347,464914
ISIC_0013189_downsampled.jpg,135631,332663
ISIC_0068179.jpg,119771,307619
ISIC_0025808.jpg,52963,255814
ISIC_0032953.jpg,53136,283672
ISIC_0062261.jpg,209764,546597
ISIC_0027069.jpg,71969,342215
ISIC_0059372.jpg,174482,451568
ISIC_0028792.jpg,51638,240220
ISIC_0067479.jpg,208868,516483
ISIC_0059141.jpg,214971,538246
ISIC_0011128.jpg,132063,172150
ISIC_0064907.jpg,220381,563058
ISIC_0054398.jpg,197271,573472
ISIC_0030744.jpg,46598,203392
ISIC_0054672.jpg,199620,580265
ISIC_0068746.jpg,121690,319042
ISIC_0070247.jpg,131040,325110
ISIC_0058787.jpg,173507,435233
ISIC_0032436.jpg,38058,164845
ISIC_0032255.jpg,51487,286815
ISIC_0060622.jpg,169892,478577
ISIC_0059614.jpg,208961,552774
ISIC_0031179.jpg,50677,268879
ISIC_0027507.jpg,52717,263358
ISIC_0065229.jpg,254937,600515
ISIC_0072213.jpg,240544,604155
ISIC_0056108.jpg,226871,611432
ISIC_0030341.jpg,56393,262711
ISIC_0026566.jpg,59440,313288
ISIC_0031553.jpg,52547,282549
ISIC_0072175.jpg,231213,556717
ISIC_0070350.jpg,131873,365660
ISIC_0028271.jpg,57647,260672
ISIC_0032129.jpg,59845,329376
ISIC_0058587.jpg,196696,502924
ISIC_0054683.jpg,200111,518557
ISIC_0029733.jpg,37421,149424
ISIC_0025427.jpg,58789,288964
ISIC_0057240.jpg,147760,406602
ISIC_0053694.jpg,186848,526008
ISIC_0030691.jpg,52366,279522
ISIC_0070716.jpg,144393,448251
ISIC_0015157_downsampled.jpg,119756,248604
ISIC_0062655.jpg,179423,488896
ISIC_0069595.jpg,246635,591729
ISIC_0029082.jpg,42212,198738
ISIC_0031081.jpg,56265,265895
