Dataset_Duplicate,Subfolder_Duplicate,FilePath_Duplicate,FileName_Duplicate,FileHash,Dataset_Original,Subfolder_Original,FilePath_Original,FileName_Original
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0000025.jpg,ISIC_0000025.jpg,2c5d59b05da73dcf09cc8479fb7308fe,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0000025.jpg,ISIC_0000025.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0012435.jpg,ISIC_0012435.jpg,cdbf0b95d0e4f6182022ee4981ad20f9,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0012435.jpg,ISIC_0012435.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0013065.jpg,ISIC_0013065.jpg,32eef0a54d19dd21c7ef525ad4683b51,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0013065.jpg,ISIC_0013065.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0002829.jpg,ISIC_0002829.jpg,911edddc670dc519a632c52fca9a906e,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0002829.jpg,ISIC_0002829.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0000421.jpg,ISIC_0000421.jpg,fa4e7181c6bea824dfb2ada7a98172e8,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0000421.jpg,ISIC_0000421.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0015992.jpg,ISIC_0015992.jpg,7b5ee50ec145e5029ae6d200944d47de,ISIC-2017-Challenge,test,../data/original_data/ISIC-2017-Challenge/test/ISIC_0015992.jpg,ISIC_0015992.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0016055.jpg,ISIC_0016055.jpg,754e46cf0ded316b22939e82931e0a76,ISIC-2017-Challenge,test,../data/original_data/ISIC-2017-Challenge/test/ISIC_0016055.jpg,ISIC_0016055.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0012233.jpg,ISIC_0012233.jpg,82c39cf1a6c56c50bab130d3e014dcfb,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0012233.jpg,ISIC_0012233.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0000145.jpg,ISIC_0000145.jpg,724099947ddcb0045f83d70cdd31cb6e,ISIC-2017-Challenge,train,../data/original_data/ISIC-2017-Challenge/train/ISIC_0000145.jpg,ISIC_0000145.jpg
ISIC-2017-1-FOLD,test,../data/duplicate_data/ISIC-2017-1-FOLD/test/ISIC_0014695.jpg,ISIC_0014695.jpg,3e9d327ddf5a5c4fa63662a93ef32b10,ISIC-2017-Challenge,test,../data/original_data/ISIC-2017-Challenge/test/ISIC_0014695.jpg,ISIC_0014695.jpg
